species,trap
UNSPECIFIED CULEX,T107
CULEX ERRATICUS,T107
CULEX PIPIENS/RESTUANS,T128
CULEX RESTUANS,T128
CULEX PIPIENS,T128
CULEX SALINARIUS,T128
CULEX TERRITANS,T128
CULEX TARSALIS,T128
UNSPECIFIED CULEX,T128
CULEX ERRATICUS,T128
CULEX PIPIENS/RESTUANS,T072
CULEX RESTUANS,T072
CULEX PIPIENS,T072
CULEX SALINARIUS,T072
CULEX TERRITANS,T072
CULEX TARSALIS,T072
UNSPECIFIED CULEX,T072
CULEX ERRATICUS,T072
CULEX PIPIENS/RESTUANS,T078
CULEX RESTUANS,T078
CULEX PIPIENS,T078
CULEX SALINARIUS,T078
CULEX TERRITANS,T078
CULEX TARSALIS,T078
UNSPECIFIED CULEX,T078
CULEX ERRATICUS,T078
CULEX PIPIENS/RESTUANS,T097
CULEX RESTUANS,T097
CULEX PIPIENS,T097
CULEX SALINARIUS,T097
CULEX TERRITANS,T097
CULEX TARSALIS,T097
UNSPECIFIED CULEX,T097
CULEX ERRATICUS,T097
CULEX PIPIENS/RESTUANS,T099
CULEX RESTUANS,T099
CULEX PIPIENS,T099
CULEX SALINARIUS,T099
CULEX TERRITANS,T099
CULEX TARSALIS,T099
UNSPECIFIED CULEX,T099
CULEX ERRATICUS,T099
CULEX PIPIENS/RESTUANS,T100
CULEX RESTUANS,T100
CULEX PIPIENS,T100
CULEX SALINARIUS,T100
CULEX TERRITANS,T100
CULEX TARSALIS,T100
UNSPECIFIED CULEX,T100
CULEX ERRATICUS,T100
CULEX PIPIENS/RESTUANS,T102
CULEX RESTUANS,T102
CULEX PIPIENS,T102
CULEX SALINARIUS,T102
CULEX TERRITANS,T102
CULEX TARSALIS,T102
UNSPECIFIED CULEX,T102
CULEX ERRATICUS,T102
CULEX PIPIENS/RESTUANS,T103
CULEX RESTUANS,T103
CULEX PIPIENS,T103
CULEX SALINARIUS,T103
CULEX TERRITANS,T103
CULEX TARSALIS,T103
UNSPECIFIED CULEX,T103
CULEX ERRATICUS,T103
CULEX PIPIENS/RESTUANS,T027
CULEX RESTUANS,T027
CULEX PIPIENS,T027
CULEX SALINARIUS,T027
CULEX TERRITANS,T027
CULEX TARSALIS,T027
UNSPECIFIED CULEX,T027
CULEX ERRATICUS,T027
CULEX PIPIENS/RESTUANS,T156
CULEX RESTUANS,T156
CULEX PIPIENS,T156
CULEX SALINARIUS,T156
CULEX TERRITANS,T156
CULEX TARSALIS,T156
UNSPECIFIED CULEX,T156
CULEX ERRATICUS,T156
CULEX PIPIENS/RESTUANS,T157
CULEX RESTUANS,T157
CULEX PIPIENS,T157
CULEX SALINARIUS,T157
CULEX TERRITANS,T157
CULEX TARSALIS,T157
UNSPECIFIED CULEX,T157
CULEX ERRATICUS,T157
CULEX PIPIENS/RESTUANS,T221
CULEX RESTUANS,T221
CULEX PIPIENS,T221
CULEX SALINARIUS,T221
CULEX TERRITANS,T221
CULEX TARSALIS,T221
UNSPECIFIED CULEX,T221
CULEX ERRATICUS,T221
CULEX PIPIENS/RESTUANS,T009
CULEX RESTUANS,T009
CULEX PIPIENS,T009
CULEX SALINARIUS,T009
CULEX TERRITANS,T009
CULEX TARSALIS,T009
UNSPECIFIED CULEX,T009
CULEX ERRATICUS,T009
CULEX PIPIENS/RESTUANS,T900
CULEX PIPIENS/RESTUANS,T900
CULEX PIPIENS/RESTUANS,T900
CULEX PIPIENS/RESTUANS,T900
CULEX PIPIENS/RESTUANS,T900
CULEX PIPIENS/RESTUANS,T900
CULEX RESTUANS,T900
CULEX RESTUANS,T900
CULEX RESTUANS,T900
CULEX RESTUANS,T900
CULEX RESTUANS,T900
CULEX RESTUANS,T900
CULEX RESTUANS,T900
CULEX PIPIENS,T900
CULEX PIPIENS,T900
CULEX SALINARIUS,T900
CULEX TERRITANS,T900
CULEX TERRITANS,T900
CULEX TARSALIS,T900
UNSPECIFIED CULEX,T900
CULEX ERRATICUS,T900
CULEX PIPIENS/RESTUANS,T903
CULEX RESTUANS,T903
CULEX PIPIENS,T903
CULEX SALINARIUS,T903
CULEX TERRITANS,T903
CULEX TARSALIS,T903
UNSPECIFIED CULEX,T903
CULEX ERRATICUS,T903
CULEX PIPIENS/RESTUANS,T090A
CULEX RESTUANS,T090A
CULEX PIPIENS,T090A
CULEX SALINARIUS,T090A
CULEX TERRITANS,T090A
CULEX TARSALIS,T090A
UNSPECIFIED CULEX,T090A
CULEX ERRATICUS,T090A
CULEX PIPIENS/RESTUANS,T090B
CULEX RESTUANS,T090B
CULEX PIPIENS,T090B
CULEX SALINARIUS,T090B
CULEX TERRITANS,T090B
CULEX TARSALIS,T090B
UNSPECIFIED CULEX,T090B
CULEX ERRATICUS,T090B
CULEX PIPIENS/RESTUANS,T090C
CULEX RESTUANS,T090C
CULEX PIPIENS,T090C
CULEX SALINARIUS,T090C
CULEX TERRITANS,T090C
CULEX TARSALIS,T090C
UNSPECIFIED CULEX,T090C
CULEX ERRATICUS,T090C
CULEX PIPIENS/RESTUANS,T200A
CULEX RESTUANS,T200A
CULEX PIPIENS,T200A
CULEX SALINARIUS,T200A
CULEX TERRITANS,T200A
CULEX TARSALIS,T200A
UNSPECIFIED CULEX,T200A
CULEX ERRATICUS,T200A
CULEX PIPIENS/RESTUANS,T128A
CULEX RESTUANS,T128A
CULEX PIPIENS,T128A
CULEX SALINARIUS,T128A
CULEX TERRITANS,T128A
CULEX TARSALIS,T128A
UNSPECIFIED CULEX,T128A
CULEX ERRATICUS,T128A
CULEX PIPIENS/RESTUANS,T200B
CULEX RESTUANS,T200B
CULEX PIPIENS,T200B
CULEX SALINARIUS,T200B
CULEX TERRITANS,T200B
CULEX TARSALIS,T200B
UNSPECIFIED CULEX,T200B
CULEX ERRATICUS,T200B
CULEX PIPIENS/RESTUANS,T218A
CULEX RESTUANS,T218A
CULEX PIPIENS,T218A
CULEX SALINARIUS,T218A
CULEX TERRITANS,T218A
CULEX TARSALIS,T218A
UNSPECIFIED CULEX,T218A
CULEX ERRATICUS,T218A
CULEX PIPIENS/RESTUANS,T218C
CULEX RESTUANS,T218C
CULEX PIPIENS,T218C
CULEX SALINARIUS,T218C
CULEX TERRITANS,T218C
CULEX TARSALIS,T218C
UNSPECIFIED CULEX,T218C
CULEX ERRATICUS,T218C
CULEX PIPIENS/RESTUANS,T218B
CULEX RESTUANS,T218B
CULEX PIPIENS,T218B
CULEX SALINARIUS,T218B
CULEX TERRITANS,T218B
CULEX TARSALIS,T218B
UNSPECIFIED CULEX,T218B
CULEX ERRATICUS,T218B
CULEX PIPIENS/RESTUANS,T222
CULEX RESTUANS,T222
CULEX PIPIENS,T222
CULEX SALINARIUS,T222
CULEX TERRITANS,T222
CULEX TARSALIS,T222
UNSPECIFIED CULEX,T222
CULEX ERRATICUS,T222
CULEX PIPIENS/RESTUANS,T223
CULEX RESTUANS,T223
CULEX PIPIENS,T223
CULEX SALINARIUS,T223
CULEX TERRITANS,T223
CULEX TARSALIS,T223
UNSPECIFIED CULEX,T223
CULEX ERRATICUS,T223
CULEX PIPIENS/RESTUANS,T225
CULEX RESTUANS,T225
CULEX PIPIENS,T225
CULEX SALINARIUS,T225
CULEX TERRITANS,T225
CULEX TARSALIS,T225
UNSPECIFIED CULEX,T225
CULEX ERRATICUS,T225
CULEX PIPIENS/RESTUANS,T227
CULEX RESTUANS,T227
CULEX PIPIENS,T227
CULEX SALINARIUS,T227
CULEX TERRITANS,T227
CULEX TARSALIS,T227
UNSPECIFIED CULEX,T227
CULEX ERRATICUS,T227
CULEX PIPIENS/RESTUANS,T224
CULEX RESTUANS,T224
CULEX PIPIENS,T224
CULEX SALINARIUS,T224
CULEX TERRITANS,T224
CULEX TARSALIS,T224
UNSPECIFIED CULEX,T224
CULEX ERRATICUS,T224
CULEX PIPIENS/RESTUANS,T226
CULEX RESTUANS,T226
CULEX PIPIENS,T226
CULEX SALINARIUS,T226
CULEX TERRITANS,T226
CULEX TARSALIS,T226
UNSPECIFIED CULEX,T226
CULEX ERRATICUS,T226
CULEX PIPIENS/RESTUANS,T229
CULEX RESTUANS,T229
CULEX PIPIENS,T229
CULEX SALINARIUS,T229
CULEX TERRITANS,T229
CULEX TARSALIS,T229
UNSPECIFIED CULEX,T229
CULEX ERRATICUS,T229
CULEX PIPIENS/RESTUANS,T230
CULEX RESTUANS,T230
CULEX PIPIENS,T230
CULEX SALINARIUS,T230
CULEX TERRITANS,T230
CULEX TARSALIS,T230
UNSPECIFIED CULEX,T230
CULEX ERRATICUS,T230
CULEX PIPIENS/RESTUANS,T228
CULEX RESTUANS,T228
CULEX PIPIENS,T228
CULEX SALINARIUS,T228
CULEX TERRITANS,T228
CULEX TARSALIS,T228
UNSPECIFIED CULEX,T228
CULEX ERRATICUS,T228
CULEX PIPIENS/RESTUANS,T035
CULEX RESTUANS,T035
CULEX PIPIENS,T035
CULEX SALINARIUS,T035
CULEX TERRITANS,T035
CULEX TARSALIS,T035
UNSPECIFIED CULEX,T035
CULEX ERRATICUS,T035
CULEX PIPIENS/RESTUANS,T231
CULEX RESTUANS,T231
CULEX PIPIENS,T231
CULEX SALINARIUS,T231
CULEX TERRITANS,T231
CULEX TARSALIS,T231
UNSPECIFIED CULEX,T231
CULEX ERRATICUS,T231
CULEX PIPIENS/RESTUANS,T232
CULEX RESTUANS,T232
CULEX PIPIENS,T232
CULEX SALINARIUS,T232
CULEX TERRITANS,T232
CULEX TARSALIS,T232
UNSPECIFIED CULEX,T232
CULEX ERRATICUS,T232
CULEX PIPIENS/RESTUANS,T002A
CULEX RESTUANS,T002A
CULEX PIPIENS,T002A
CULEX SALINARIUS,T002A
CULEX TERRITANS,T002A
CULEX TARSALIS,T002A
UNSPECIFIED CULEX,T002A
CULEX ERRATICUS,T002A
CULEX PIPIENS/RESTUANS,T002B
CULEX RESTUANS,T002B
CULEX PIPIENS,T002B
CULEX SALINARIUS,T002B
CULEX TERRITANS,T002B
CULEX TARSALIS,T002B
UNSPECIFIED CULEX,T002B
CULEX ERRATICUS,T002B
CULEX PIPIENS/RESTUANS,T233
CULEX RESTUANS,T233
CULEX PIPIENS,T233
CULEX SALINARIUS,T233
CULEX TERRITANS,T233
CULEX TARSALIS,T233
UNSPECIFIED CULEX,T233
CULEX ERRATICUS,T233
CULEX PIPIENS/RESTUANS,T234
CULEX RESTUANS,T234
CULEX PIPIENS,T234
CULEX SALINARIUS,T234
CULEX TERRITANS,T234
CULEX TARSALIS,T234
UNSPECIFIED CULEX,T234
CULEX ERRATICUS,T234
CULEX PIPIENS/RESTUANS,T235
CULEX RESTUANS,T235
CULEX PIPIENS,T235
CULEX SALINARIUS,T235
CULEX TERRITANS,T235
CULEX TARSALIS,T235
UNSPECIFIED CULEX,T235
CULEX ERRATICUS,T235
CULEX PIPIENS/RESTUANS,T236
CULEX RESTUANS,T236
CULEX PIPIENS,T236
CULEX SALINARIUS,T236
CULEX TERRITANS,T236
CULEX TARSALIS,T236
UNSPECIFIED CULEX,T236
CULEX ERRATICUS,T236
CULEX PIPIENS/RESTUANS,T237
CULEX RESTUANS,T237
CULEX PIPIENS,T237
CULEX SALINARIUS,T237
CULEX TERRITANS,T237
CULEX TARSALIS,T237
UNSPECIFIED CULEX,T237
CULEX ERRATICUS,T237
CULEX PIPIENS/RESTUANS,T238
CULEX RESTUANS,T238
CULEX PIPIENS,T238
CULEX SALINARIUS,T238
CULEX TERRITANS,T238
CULEX TARSALIS,T238
UNSPECIFIED CULEX,T238
CULEX ERRATICUS,T238
CULEX PIPIENS/RESTUANS,T065A
CULEX RESTUANS,T065A
CULEX PIPIENS,T065A
CULEX SALINARIUS,T065A
CULEX TERRITANS,T065A
CULEX TARSALIS,T065A
UNSPECIFIED CULEX,T065A
CULEX ERRATICUS,T065A
CULEX PIPIENS/RESTUANS,T094B
CULEX RESTUANS,T094B
CULEX PIPIENS,T094B
CULEX SALINARIUS,T094B
CULEX TERRITANS,T094B
CULEX TARSALIS,T094B
UNSPECIFIED CULEX,T094B
CULEX ERRATICUS,T094B
CULEX PIPIENS/RESTUANS,T054C
CULEX RESTUANS,T054C
CULEX PIPIENS,T054C
CULEX SALINARIUS,T054C
CULEX TERRITANS,T054C
CULEX TARSALIS,T054C
UNSPECIFIED CULEX,T054C
CULEX ERRATICUS,T054C
CULEX PIPIENS/RESTUANS,T002
CULEX RESTUANS,T002
CULEX PIPIENS,T002
CULEX SALINARIUS,T002
CULEX TERRITANS,T002
CULEX TARSALIS,T002
UNSPECIFIED CULEX,T002
CULEX ERRATICUS,T002
CULEX PIPIENS/RESTUANS,T007
CULEX RESTUANS,T007
CULEX PIPIENS,T007
CULEX SALINARIUS,T007
CULEX TERRITANS,T007
CULEX TARSALIS,T007
UNSPECIFIED CULEX,T007
CULEX ERRATICUS,T007
CULEX PIPIENS/RESTUANS,T015
CULEX RESTUANS,T015
CULEX PIPIENS,T015
CULEX SALINARIUS,T015
CULEX TERRITANS,T015
CULEX TARSALIS,T015
UNSPECIFIED CULEX,T015
CULEX ERRATICUS,T015
CULEX PIPIENS/RESTUANS,T045
CULEX RESTUANS,T045
CULEX PIPIENS,T045
CULEX SALINARIUS,T045
CULEX TERRITANS,T045
CULEX TARSALIS,T045
UNSPECIFIED CULEX,T045
CULEX ERRATICUS,T045
CULEX PIPIENS/RESTUANS,T046
CULEX RESTUANS,T046
CULEX PIPIENS,T046
CULEX SALINARIUS,T046
CULEX TERRITANS,T046
CULEX TARSALIS,T046
UNSPECIFIED CULEX,T046
CULEX ERRATICUS,T046
CULEX PIPIENS/RESTUANS,T048
CULEX RESTUANS,T048
CULEX PIPIENS,T048
CULEX SALINARIUS,T048
CULEX TERRITANS,T048
CULEX TARSALIS,T048
UNSPECIFIED CULEX,T048
CULEX ERRATICUS,T048
CULEX PIPIENS/RESTUANS,T049
CULEX RESTUANS,T049
CULEX PIPIENS,T049
CULEX SALINARIUS,T049
CULEX TERRITANS,T049
CULEX TARSALIS,T049
UNSPECIFIED CULEX,T049
CULEX ERRATICUS,T049
CULEX PIPIENS/RESTUANS,T050
CULEX RESTUANS,T050
CULEX PIPIENS,T050
CULEX SALINARIUS,T050
CULEX TERRITANS,T050
CULEX TARSALIS,T050
UNSPECIFIED CULEX,T050
CULEX ERRATICUS,T050
CULEX PIPIENS/RESTUANS,T054
CULEX RESTUANS,T054
CULEX RESTUANS,T054
CULEX PIPIENS,T054
CULEX SALINARIUS,T054
CULEX TERRITANS,T054
CULEX TARSALIS,T054
UNSPECIFIED CULEX,T054
CULEX ERRATICUS,T054
CULEX PIPIENS/RESTUANS,T086
CULEX RESTUANS,T086
CULEX PIPIENS,T086
CULEX SALINARIUS,T086
CULEX TERRITANS,T086
CULEX TARSALIS,T086
UNSPECIFIED CULEX,T086
CULEX ERRATICUS,T086
CULEX PIPIENS/RESTUANS,T091
CULEX RESTUANS,T091
CULEX PIPIENS,T091
CULEX SALINARIUS,T091
CULEX TERRITANS,T091
CULEX TARSALIS,T091
UNSPECIFIED CULEX,T091
CULEX ERRATICUS,T091
CULEX PIPIENS/RESTUANS,T094
CULEX RESTUANS,T094
CULEX PIPIENS,T094
CULEX SALINARIUS,T094
CULEX TERRITANS,T094
CULEX TARSALIS,T094
UNSPECIFIED CULEX,T094
CULEX ERRATICUS,T094
CULEX PIPIENS/RESTUANS,T096
CULEX RESTUANS,T096
CULEX PIPIENS,T096
CULEX SALINARIUS,T096
CULEX TERRITANS,T096
CULEX TARSALIS,T096
UNSPECIFIED CULEX,T096
CULEX ERRATICUS,T096
CULEX PIPIENS/RESTUANS,T129
CULEX RESTUANS,T129
CULEX PIPIENS,T129
CULEX SALINARIUS,T129
CULEX TERRITANS,T129
CULEX TARSALIS,T129
UNSPECIFIED CULEX,T129
CULEX ERRATICUS,T129
CULEX PIPIENS/RESTUANS,T143
CULEX RESTUANS,T143
CULEX PIPIENS,T143
CULEX SALINARIUS,T143
CULEX TERRITANS,T143
CULEX TARSALIS,T143
UNSPECIFIED CULEX,T143
CULEX ERRATICUS,T143
CULEX PIPIENS/RESTUANS,T148
CULEX RESTUANS,T148
CULEX PIPIENS,T148
CULEX SALINARIUS,T148
CULEX TERRITANS,T148
CULEX TARSALIS,T148
UNSPECIFIED CULEX,T148
CULEX ERRATICUS,T148
CULEX PIPIENS/RESTUANS,T153
CULEX RESTUANS,T153
CULEX PIPIENS,T153
CULEX SALINARIUS,T153
CULEX TERRITANS,T153
CULEX TARSALIS,T153
UNSPECIFIED CULEX,T153
CULEX ERRATICUS,T153
CULEX PIPIENS/RESTUANS,T159
CULEX RESTUANS,T159
CULEX PIPIENS,T159
CULEX SALINARIUS,T159
CULEX TERRITANS,T159
CULEX TARSALIS,T159
UNSPECIFIED CULEX,T159
CULEX ERRATICUS,T159
CULEX PIPIENS/RESTUANS,T009
CULEX RESTUANS,T009
CULEX PIPIENS,T009
CULEX SALINARIUS,T009
CULEX TERRITANS,T009
CULEX TARSALIS,T009
UNSPECIFIED CULEX,T009
CULEX ERRATICUS,T009
CULEX PIPIENS/RESTUANS,T011
CULEX RESTUANS,T011
CULEX PIPIENS,T011
CULEX SALINARIUS,T011
CULEX TERRITANS,T011
CULEX TARSALIS,T011
UNSPECIFIED CULEX,T011
CULEX ERRATICUS,T011
CULEX PIPIENS/RESTUANS,T016
CULEX RESTUANS,T016
CULEX PIPIENS,T016
CULEX SALINARIUS,T016
CULEX TERRITANS,T016
CULEX TARSALIS,T016
UNSPECIFIED CULEX,T016
CULEX ERRATICUS,T016
CULEX PIPIENS/RESTUANS,T019
CULEX RESTUANS,T019
CULEX PIPIENS,T019
CULEX SALINARIUS,T019
CULEX TERRITANS,T019
CULEX TARSALIS,T019
UNSPECIFIED CULEX,T019
CULEX ERRATICUS,T019
CULEX PIPIENS/RESTUANS,T025
CULEX RESTUANS,T025
CULEX PIPIENS,T025
CULEX SALINARIUS,T025
CULEX TERRITANS,T025
CULEX TARSALIS,T025
UNSPECIFIED CULEX,T025
CULEX ERRATICUS,T025
CULEX PIPIENS/RESTUANS,T028
CULEX RESTUANS,T028
CULEX PIPIENS,T028
CULEX SALINARIUS,T028
CULEX TERRITANS,T028
CULEX TARSALIS,T028
UNSPECIFIED CULEX,T028
CULEX ERRATICUS,T028
CULEX PIPIENS/RESTUANS,T031
CULEX RESTUANS,T031
CULEX PIPIENS,T031
CULEX SALINARIUS,T031
CULEX TERRITANS,T031
CULEX TARSALIS,T031
UNSPECIFIED CULEX,T031
CULEX ERRATICUS,T031
CULEX PIPIENS/RESTUANS,T033
CULEX RESTUANS,T033
CULEX PIPIENS,T033
CULEX SALINARIUS,T033
CULEX TERRITANS,T033
CULEX TARSALIS,T033
UNSPECIFIED CULEX,T033
CULEX ERRATICUS,T033
CULEX PIPIENS/RESTUANS,T089
CULEX RESTUANS,T089
CULEX PIPIENS,T089
CULEX SALINARIUS,T089
CULEX TERRITANS,T089
CULEX TARSALIS,T089
UNSPECIFIED CULEX,T089
CULEX ERRATICUS,T089
CULEX PIPIENS/RESTUANS,T090
CULEX RESTUANS,T090
CULEX PIPIENS,T090
CULEX SALINARIUS,T090
CULEX TERRITANS,T090
CULEX TARSALIS,T090
UNSPECIFIED CULEX,T090
CULEX ERRATICUS,T090
CULEX PIPIENS/RESTUANS,T092
CULEX RESTUANS,T092
CULEX PIPIENS,T092
CULEX SALINARIUS,T092
CULEX TERRITANS,T092
CULEX TARSALIS,T092
UNSPECIFIED CULEX,T092
CULEX ERRATICUS,T092
CULEX PIPIENS/RESTUANS,T135
CULEX RESTUANS,T135
CULEX PIPIENS,T135
CULEX SALINARIUS,T135
CULEX TERRITANS,T135
CULEX TARSALIS,T135
UNSPECIFIED CULEX,T135
CULEX ERRATICUS,T135
CULEX PIPIENS/RESTUANS,T141
CULEX RESTUANS,T141
CULEX PIPIENS,T141
CULEX SALINARIUS,T141
CULEX TERRITANS,T141
CULEX TARSALIS,T141
UNSPECIFIED CULEX,T141
CULEX ERRATICUS,T141
CULEX PIPIENS/RESTUANS,T142
CULEX RESTUANS,T142
CULEX PIPIENS,T142
CULEX SALINARIUS,T142
CULEX TERRITANS,T142
CULEX TARSALIS,T142
UNSPECIFIED CULEX,T142
CULEX ERRATICUS,T142
CULEX PIPIENS/RESTUANS,T145
CULEX RESTUANS,T145
CULEX PIPIENS,T145
CULEX SALINARIUS,T145
CULEX TERRITANS,T145
CULEX TARSALIS,T145
UNSPECIFIED CULEX,T145
CULEX ERRATICUS,T145
CULEX PIPIENS/RESTUANS,T146
CULEX RESTUANS,T146
CULEX PIPIENS,T146
CULEX SALINARIUS,T146
CULEX TERRITANS,T146
CULEX TARSALIS,T146
UNSPECIFIED CULEX,T146
CULEX ERRATICUS,T146
CULEX PIPIENS/RESTUANS,T147
CULEX RESTUANS,T147
CULEX PIPIENS,T147
CULEX SALINARIUS,T147
CULEX TERRITANS,T147
CULEX TARSALIS,T147
UNSPECIFIED CULEX,T147
CULEX ERRATICUS,T147
CULEX PIPIENS/RESTUANS,T149
CULEX RESTUANS,T149
CULEX PIPIENS,T149
CULEX SALINARIUS,T149
CULEX TERRITANS,T149
CULEX TARSALIS,T149
UNSPECIFIED CULEX,T149
CULEX ERRATICUS,T149
CULEX PIPIENS/RESTUANS,T150
CULEX RESTUANS,T150
CULEX PIPIENS,T150
CULEX SALINARIUS,T150
CULEX TERRITANS,T150
CULEX TARSALIS,T150
UNSPECIFIED CULEX,T150
CULEX ERRATICUS,T150
CULEX PIPIENS/RESTUANS,T151
CULEX RESTUANS,T151
CULEX PIPIENS,T151
CULEX SALINARIUS,T151
CULEX TERRITANS,T151
CULEX TARSALIS,T151
UNSPECIFIED CULEX,T151
CULEX ERRATICUS,T151
CULEX PIPIENS/RESTUANS,T152
CULEX RESTUANS,T152
CULEX PIPIENS,T152
CULEX SALINARIUS,T152
CULEX TERRITANS,T152
CULEX TARSALIS,T152
UNSPECIFIED CULEX,T152
CULEX ERRATICUS,T152
CULEX PIPIENS/RESTUANS,T154
CULEX RESTUANS,T154
CULEX PIPIENS,T154
CULEX SALINARIUS,T154
CULEX TERRITANS,T154
CULEX TARSALIS,T154
UNSPECIFIED CULEX,T154
CULEX ERRATICUS,T154
CULEX PIPIENS/RESTUANS,T158
CULEX RESTUANS,T158
CULEX PIPIENS,T158
CULEX SALINARIUS,T158
CULEX TERRITANS,T158
CULEX TARSALIS,T158
UNSPECIFIED CULEX,T158
CULEX ERRATICUS,T158
CULEX PIPIENS/RESTUANS,T162
CULEX RESTUANS,T162
CULEX PIPIENS,T162
CULEX SALINARIUS,T162
CULEX TERRITANS,T162
CULEX TARSALIS,T162
UNSPECIFIED CULEX,T162
CULEX ERRATICUS,T162
CULEX PIPIENS/RESTUANS,T218
CULEX RESTUANS,T218
CULEX PIPIENS,T218
CULEX SALINARIUS,T218
CULEX TERRITANS,T218
CULEX TARSALIS,T218
UNSPECIFIED CULEX,T218
CULEX ERRATICUS,T218
CULEX PIPIENS/RESTUANS,T220
CULEX RESTUANS,T220
CULEX PIPIENS,T220
CULEX SALINARIUS,T220
CULEX TERRITANS,T220
CULEX TARSALIS,T220
UNSPECIFIED CULEX,T220
CULEX ERRATICUS,T220
CULEX PIPIENS/RESTUANS,T001
CULEX RESTUANS,T001
CULEX PIPIENS,T001
CULEX SALINARIUS,T001
CULEX TERRITANS,T001
CULEX TARSALIS,T001
UNSPECIFIED CULEX,T001
CULEX ERRATICUS,T001
CULEX PIPIENS/RESTUANS,T003
CULEX RESTUANS,T003
CULEX PIPIENS,T003
CULEX SALINARIUS,T003
CULEX TERRITANS,T003
CULEX TARSALIS,T003
UNSPECIFIED CULEX,T003
CULEX ERRATICUS,T003
CULEX PIPIENS/RESTUANS,T006
CULEX RESTUANS,T006
CULEX PIPIENS,T006
CULEX SALINARIUS,T006
CULEX TERRITANS,T006
CULEX TARSALIS,T006
UNSPECIFIED CULEX,T006
CULEX ERRATICUS,T006
CULEX PIPIENS/RESTUANS,T008
CULEX RESTUANS,T008
CULEX PIPIENS,T008
CULEX SALINARIUS,T008
CULEX TERRITANS,T008
CULEX TARSALIS,T008
UNSPECIFIED CULEX,T008
CULEX ERRATICUS,T008
CULEX PIPIENS/RESTUANS,T012
CULEX RESTUANS,T012
CULEX RESTUANS,T012
CULEX PIPIENS,T012
CULEX SALINARIUS,T012
CULEX TERRITANS,T012
CULEX TARSALIS,T012
UNSPECIFIED CULEX,T012
CULEX ERRATICUS,T012
CULEX PIPIENS/RESTUANS,T034
CULEX RESTUANS,T034
CULEX PIPIENS,T034
CULEX SALINARIUS,T034
CULEX TERRITANS,T034
CULEX TARSALIS,T034
UNSPECIFIED CULEX,T034
CULEX ERRATICUS,T034
CULEX PIPIENS/RESTUANS,T037
CULEX RESTUANS,T037
CULEX PIPIENS,T037
CULEX SALINARIUS,T037
CULEX TERRITANS,T037
CULEX TARSALIS,T037
UNSPECIFIED CULEX,T037
CULEX ERRATICUS,T037
CULEX PIPIENS/RESTUANS,T040
CULEX RESTUANS,T040
CULEX PIPIENS,T040
CULEX SALINARIUS,T040
CULEX TERRITANS,T040
CULEX TARSALIS,T040
UNSPECIFIED CULEX,T040
CULEX ERRATICUS,T040
CULEX PIPIENS/RESTUANS,T043
CULEX RESTUANS,T043
CULEX PIPIENS,T043
CULEX SALINARIUS,T043
CULEX TERRITANS,T043
CULEX TARSALIS,T043
UNSPECIFIED CULEX,T043
CULEX ERRATICUS,T043
CULEX PIPIENS/RESTUANS,T047
CULEX RESTUANS,T047
CULEX PIPIENS,T047
CULEX SALINARIUS,T047
CULEX TERRITANS,T047
CULEX TARSALIS,T047
UNSPECIFIED CULEX,T047
CULEX ERRATICUS,T047
CULEX PIPIENS/RESTUANS,T051
CULEX RESTUANS,T051
CULEX PIPIENS,T051
CULEX SALINARIUS,T051
CULEX TERRITANS,T051
CULEX TARSALIS,T051
UNSPECIFIED CULEX,T051
CULEX ERRATICUS,T051
CULEX PIPIENS/RESTUANS,T085
CULEX RESTUANS,T085
CULEX PIPIENS,T085
CULEX SALINARIUS,T085
CULEX TERRITANS,T085
CULEX TARSALIS,T085
UNSPECIFIED CULEX,T085
CULEX ERRATICUS,T085
CULEX PIPIENS/RESTUANS,T088
CULEX RESTUANS,T088
CULEX PIPIENS,T088
CULEX SALINARIUS,T088
CULEX TERRITANS,T088
CULEX TARSALIS,T088
UNSPECIFIED CULEX,T088
CULEX ERRATICUS,T088
CULEX PIPIENS/RESTUANS,T161
CULEX RESTUANS,T161
CULEX PIPIENS,T161
CULEX SALINARIUS,T161
CULEX TERRITANS,T161
CULEX TARSALIS,T161
UNSPECIFIED CULEX,T161
CULEX ERRATICUS,T161
CULEX PIPIENS/RESTUANS,T219
CULEX RESTUANS,T219
CULEX PIPIENS,T219
CULEX SALINARIUS,T219
CULEX TERRITANS,T219
CULEX TARSALIS,T219
UNSPECIFIED CULEX,T219
CULEX ERRATICUS,T219
CULEX PIPIENS/RESTUANS,T013
CULEX RESTUANS,T013
CULEX PIPIENS,T013
CULEX SALINARIUS,T013
CULEX TERRITANS,T013
CULEX TARSALIS,T013
UNSPECIFIED CULEX,T013
CULEX ERRATICUS,T013
CULEX PIPIENS/RESTUANS,T014
CULEX RESTUANS,T014
CULEX PIPIENS,T014
CULEX SALINARIUS,T014
CULEX TERRITANS,T014
CULEX TARSALIS,T014
UNSPECIFIED CULEX,T014
CULEX ERRATICUS,T014
CULEX PIPIENS/RESTUANS,T018
CULEX RESTUANS,T018
CULEX PIPIENS,T018
CULEX SALINARIUS,T018
CULEX TERRITANS,T018
CULEX TARSALIS,T018
UNSPECIFIED CULEX,T018
CULEX ERRATICUS,T018
CULEX PIPIENS/RESTUANS,T030
CULEX RESTUANS,T030
CULEX PIPIENS,T030
CULEX SALINARIUS,T030
CULEX TERRITANS,T030
